Crop name,Botanical name,ICC code,Previous code
Abaca (Manila hemp),Musa textilis,9213,2.2.4.1
Alfalfa for fodder,Medicago sativa,911,1.7.1.1
Alfalfa for seed,Medicago sativa,911,1.8.2
Almond,Prunus dulcis,361,2.1.7.1
Anise seeds,Pimpinella anisum,6212,1.4.3.4
Apple,Malus sylvestris,351,2.1.2.1
Apricot,Prunus armeniaca,352,2.1.3.1
Areca (betel nut),Areca catechu,992,2.2.7.6
Arracha,Arracacia xanthorrhiza,59,1.2.9
Arrowroot,Maranta arundinacea,59,1.2.5
Artichoke,Cynara scolymus,211,1.5.1.0.1
Asparagus,Asparagus officinalis,212,1.5.1.0.2
Avocado,Persea americana,311,2.1.6.0.1
Bajra (Pearl millet),Pennisetum americanum,18,1.1.5.1.2
Bambara groundnut,Vigna subterranea,79,1.3.9
Banana,Musa paradisiaca,312,2.1.6.0.2
Barley,Hordeum vulgare,15,1.1.4
"Beans, dry, edible, for grains",Phaseolus vulgaris,71,1.3.1
"Beans, harvested green",Phaseolus and Vigna spp.,71,1.5.4.1
"Beet, fodder (mangel)",Beta vulgaris,81,1.7.5.0.5
"Beet, red",Beta vulgaris,81,1.5.3.5
"Beet, sugar",Beta vulgaris,81,1.4.1.2
"Beet, sugar for fodder",Beta vulgaris,81,1.7.5.0.6
"Beet, sugar for seeds",Beta vulgaris,81,1.8.1
Bergamot,Citrus bergamia,329,2.1.1.6
Betel nut,Areca catechu,992,2.2.7.6
Black pepper,Piper nigrum,6221,2.2.3.1
Black wattle,Acacia mearnsii,992,2.2.5.2
Blackberries of various species,Rubus spp.,349,2.1.5.7
Blueberry,Vaccinium spp.,346,2.1.5.1
Brazil nut,Bertholletia excelsa,369,2.1.7.6
Breadfruit,Artocarpus altilis,319,2.1.6.0.3
"Broad bean, dry",Vicia faba,72,1.3.2
"Broad bean, harvested green",Vicia faba,72,1.5.4.3
Broccoli,Brassica oleracea var. botrytis,214,1.5.5.1
Broom millet,Sorghum bicolor,18,1.4.5.4
Broom sorghum,Sorghum bicolor,14,1.4.5.4
Brussels sprouts,Brassica oleracea var. gemmifera,219,1.5.1.0.3
Buckwheat,Fagopyrum esculentum,192,1.1.9
"Cabbage (red, white, Savoy)",Brassica oleracea var. capitata,213,1.5.1.0.4
"Cabbage, Chinese",Brassica chinensis,213,1.5.1.0.7
"Cabbage, for fodder",Brassica spp.,213,1.7.5.0.1
Cacao (cocoa),Theobroma cacao,614,2.2.1.2
Cantaloupe,Cucumis melo,225,1.5.2.0.1
Caraway seeds,Carum carvi,6219,1.4.3.4
Cardamom,Elettaria cardamomum,6222,2.2.3.7
Cardoon,Cynara cardunculus,219,1.5.1.1.5
Carob,Ceratonia siliqua,39,2.1.6.1.5
"Carrot, edible",Daucus carota ssp. sativa,231,1.5.3.1
"Carrot, for fodder",Daucus carota ssp. sativa,231,1.7.5.1.0
Cashew nuts,Anacardium occidentale,362,2.1.7.2
Cassava (manioc),Manihot esculenta,53,1.2.3
Castor bean,Ricinus communis,431,1.4.2.1.0
Cauliflower,Brassica oleracea var. botrytis,214,1.5.5.1
Celeriac,Apium graveolens var. rapaceum,239,1.5.3.8
Celery,Apium graveolens,219,1.5.1.0.5
Chayote,Sechium edule,229,1.5.2.1.2
Cherry (all varieties),Prunus spp.,353,2.1.3.2
Chestnut,Castanea sativa,363,2.1.7.4
Chickpea (gram pea),Cicer arietinum,73,1.3.4
Chicory,Cichorium intybus,217,1.4.5.2
Chicory for greens,Cichorium intybus,217,1.5.1.0.6
"Chili, dry (all varieties)",Capsicum spp. (annuum),6211,1.4.3.1
"Chili, fresh (all varieties)",Capsicum spp. (annuum),6211,1.5.2.0.2
Cinnamon,Cinnamomum verum,6223,2.2.3.2
Citron,Citrus medica,329,2.1.1.6
Citronella,Cymbopogon citrates/ Cymbopogon nardus,992,2.2.7.1
Clementine,Citrus reticulata,324,2.1.1.2
Clove,Eugenia aromatica (Syzygium aromaticum),6224,2.2.3.3
Clover for fodder (all varieties),Trifolium spp.,911,1.7.1.2
Clover for seed (all varieties),Trifolium spp.,911,1.8.3
Cocoa (cacao),Theobroma cacao,614,2.2.1.2
Coconut,Cocos nucifera,441,2.2.2.1
Cocoyam,Colocasia esculenta,59,1.2.8
Coffee,Coffea spp.,611,2.2.1.1
Cola nut (all varieties),Cola acuminata,619,2.2.1.6
Colza (rapeseed),Brassica napus,435,1.4.2.0.5
"Corn (maize), for cereals",Zea mays,12,1.1.3
"Corn (maize), for silage",Zea mays,12,1.7.3.1
"Corn (sweet), for vegetable",Zea mays,12,1.5.5.2
Corn for salad,Valerianella locusta,219,1.5.1.1.5
Cotton (all varieties),Gossypium spp.,9211,1.4.4.1
Cottonseed (all varieties),Gossypium spp.,9211,1.4.2.0.8
"Cowpea, for grain",Vigna unguiculata,74,1.3.6
"Cowpea, harvested green",Vigna unguiculata,74,1.5.4.3
Cranberry,Vaccinium spp.,349,2.1.5.2
Cress,Lepidium sativum,219,1.5.1.0.8
Cucumber,Cucumis sativus,221,1.5.2.0.3
Currants (all varieties),Ribes spp.,341,2.1.5.3
Custard apple,Annona reticulate,319,2.1.6.0.4
Dasheen,Colocasia esculenta,59,1.2.8
Dates,Phoenix dactylifera,313,2.1.6.0.5
Drumstick tree,Moringa oleifera,6229,2.2.3.8
Durra (sorghum),Sorghum bicolour,14,1.1.5.2
Durum wheat,Triticum durum,11,1.1.1.1.1;
Earth pea,Vigna subterranea,79,1.3.9
Edo (eddoe),Xanthosoma spp.; Colocasia spp.,59,1.2.8
Eggplant,Solanum melongena,222,1.5.2.0.4
Endive,Cichorium endivia,219,1.5.1.0.9
